# XLAMB2	YLAMB2
313025.400	2468400.600
312642.300	2473213.100
312493.200	2473468.500
312389.700	2474238.400
312483.200	2475301.200
312189.700	2475932.700
311008.400	2475579.800
309765.000	2477446.900
309495.700	2478596.300
308888.900	2481168.000
308444.000	2482228.900
307714.400	2483379.400
307746.100	2483763.400
306807.200	2485559.400
306155.600	2486744.900
305541.500	2487909.400
305535.100	2488893.300
304575.700	2488877.500
303159.000	2491311.200
302794.100	2491886.600
302284.100	2492718.700
300536.600	2494415.100
300190.700	2494391.700
300019.300	2493840.200
299491.900	2494133.300
298913.500	2494043.000
298707.200	2494187.000
298514.800	2494754.800
297968.700	2496243.900
297808.600	2497215.000
298030.500	2498728.800
297804.000	2501785.000
297620.300	2503798.400
297069.800	2505153.000
296423.300	2505466.300
296674.000	2507949.600
296298.500	2509549.600
295597.200	2510123.200
294419.400	2510609.900
293823.600	2511612.700
294218.100	2513203.800
295275.400	2514076.600
296076.600	2514477.200
296469.800	2515500.700
296999.300	2515862.000
297290.800	2516527.800
297445.700	2517862.400
297429.600	2519405.000
297463.700	2521145.300
296958.900	2523917.400
296168.600	2525564.300
295536.200	2526228.400
294491.000	2526528.800
293898.800	2527127.800
293461.800	2527316.500
292548.800	2527144.500
291583.300	2527950.400
290539.000	2528272.200
290658.600	2528712.500
291166.200	2529390.000
291453.600	2530033.700
290946.500	2530833.700
290737.000	2531793.900
290832.300	2532602.300
290840.900	2533397.100
291130.300	2533833.900
291629.700	2533854.400
292597.200	2533857.000
293455.900	2533276.400
294402.900	2532646.500
294553.000	2531735.100
295076.700	2531551.700
295689.900	2531570.600
296953.600	2532374.600
297608.300	2532436.400
297708.600	2532070.000
298382.300	2531979.200
299104.300	2530187.000
299108.900	2529706.000
300040.100	2529280.600
301542.000	2529231.300
303615.700	2528122.000
306347.700	2527841.300
306779.800	2528140.700
307378.100	2527875.600
307423.100	2527634.800
308034.300	2526890.800
308225.800	2526792.400
308502.000	2526734.900
308644.200	2526721.200
308750.900	2526737.700
308843.900	2526781.400
309032.600	2526885.300
309169.500	2526940.100
309235.000	2526959.200
309265.100	2526989.400
309306.000	2527071.300
309344.300	2527120.600
309374.400	2527120.400
309431.800	2527084.900
309492.200	2527022.100
309533.100	2526972.900
309582.400	2526937.400
309637.100	2526899.100
309672.700	2526907.100
309732.800	2526942.700
309779.200	2526942.900
309825.700	2526923.600
309855.700	2526890.700
309869.500	2526858.100
309869.500	2526814.200
309844.900	2526748.700
309836.600	2526721.300
309866.700	2526688.500
309921.400	2526658.300
310006.200	2526636.400
310402.800	2526702.200
311026.300	2526814.300
311053.700	2526797.800
311048.200	2526765.100
310993.600	2526737.600
310389.100	2526639.100
309959.700	2526559.900
309926.900	2526524.300
309888.600	2526505.200
309760.200	2526507.800
309716.300	2526491.500
309656.200	2526447.700
309555.000	2526362.900
309546.800	2526327.500
309552.300	2526253.600
309596.000	2526138.600
309716.300	2525936.400
309850.600	2525748.700
309947.500	2525647.800
310116.800	2525486.100
310336.400	2525275.600
310339.300	2525274.400
310394.400	2525254.300
310423.700	2525243.500
310545.300	2525247.000
310615.800	2525250.200
310646.500	2525262.300
310744.000	2525252.100
311053.000	2525259.400
311314.100	2525194.600
311485.100	2525189.100
311589.800	2525145.300
311692.400	2525079.400
311720.900	2525061.000
311776.600	2525048.700
311782.900	2525048.600
311844.300	2525049.300
311982.100	2525080.800
312122.500	2525097.900
312124.600	2525199.400
312318.300	2525304.300
312310.100	2525323.100
312297.200	2525342.100
312341.600	2525366.300
312363.900	2525368.100
312390.900	2525382.700
312403.700	2525374.800
312412.000	2525348.000
312445.500	2525338.700
312464.800	2525323.000
312520.500	2525334.600
312523.300	2525379.000
312555.300	2525380.800
312595.300	2525351.100
312613.000	2525335.300
312836.000	2525364.100
313187.900	2525427.400
313570.400	2525316.500
314374.600	2525078.700
314368.600	2525055.000
313429.700	2525328.000
313368.300	2525068.800
313374.800	2525056.200
313352.500	2525052.700
313330.800	2524982.700
313342.000	2524979.500
313263.600	2524680.500
313279.700	2524660.000
313279.900	2524629.900
313249.800	2524608.900
313166.900	2524616.100
313156.700	2524681.100
313124.600	2524703.100
313057.700	2524693.000
313043.200	2524696.100
313035.200	2524704.000
313012.900	2524702.000
313013.000	2524689.400
312954.100	2524676.100
312914.500	2524666.400
312941.000	2524549.200
312869.300	2524535.900
312874.500	2524496.300
312951.000	2524504.900
312971.300	2524387.700
313027.000	2524394.400
313034.900	2524408.700
313111.300	2524418.900
313155.900	2524428.800
313181.200	2524465.600
313175.700	2524520.900
313277.400	2524566.400
313292.100	2524525.100
313515.500	2524530.300
313565.700	2524453.000
313601.000	2524261.200
313644.000	2524255.200
313680.900	2524239.600
313684.200	2524223.700
313671.500	2524220.500
313602.700	2524240.400
313469.000	2524218.800
313461.100	2524199.700
313419.800	2524191.400
313416.300	2524210.400
313376.500	2524205.400
313408.800	2524154.900
313415.700	2524108.900
313403.300	2524075.400
313379.500	2524057.700
313341.300	2524048.000
313344.700	2524024.000
313422.700	2524034.200
313442.600	2524121.600
313427.800	2524170.800
313453.300	2524182.200
313461.400	2524161.500
313538.100	2524168.600
313550.900	2524156.000
313526.000	2524084.400
313481.500	2524079.200
313458.300	2523975.800
313500.100	2523960.400
313581.600	2524129.300
313602.200	2524129.400
313616.600	2524121.600
313622.800	2524132.900
313634.100	2524128.200
313612.300	2524070.900
313627.000	2524039.300
313614.400	2524018.400
313596.800	2524013.600
313595.600	2523994.600
313617.800	2523993.100
313597.600	2523940.600
313585.300	2523897.700
313593.500	2523861.200
313904.000	2524093.800
314059.100	2524049.200
314112.400	2523986.200
314107.700	2523968.600
314090.000	2523978.100
314056.100	2524034.900
313908.900	2524078.100
313670.400	2523846.000
313747.600	2523765.700
313768.100	2523780.000
313784.300	2523759.700
313787.200	2523788.200
313945.600	2523738.900
313999.800	2523745.600
314040.100	2523690.400
314064.800	2523609.600
314044.300	2523411.300
314042.800	2523396.800
314017.500	2523385.500
314017.900	2523344.100
314014.900	2523317.000
313994.100	2523340.700
313958.900	2523343.600
313952.900	2523294.300
314015.200	2523290.100
314010.500	2523271.000
313954.700	2523276.900
313922.800	2523110.000
313950.600	2523035.700
314001.700	2523025.000
314048.100	2523023.700
314073.400	2523028.700
314093.900	2523063.800
314104.100	2523157.400
314121.700	2523157.700
314144.200	2523305.600
314133.000	2523313.400
314138.800	2523365.700
314153.300	2523366.000
314160.600	2523429.400
314106.300	2523441.800
314091.000	2523371.700
314076.600	2523374.700
314148.900	2523824.600
314166.300	2523831.100
314202.700	2524044.000
314274.400	2524050.900
314271.100	2524066.900
314318.900	2524067.200
314354.700	2523475.700
314375.400	2523482.100
314380.500	2523458.400
314369.400	2523453.500
314371.100	2523432.900
314387.000	2523436.200
314398.500	2523410.900
314452.500	2523417.600
314478.000	2523433.900
314472.900	2523625.800
314479.500	2523625.900
314490.700	2523440.300
314498.600	2523443.400
314499.700	2523489.600
314499.600	2523503.800
314509.100	2523503.900
314511.300	2523445.200
314546.200	2523475.700
314575.900	2523528.300
314573.600	2523604.500
314531.200	2524042.000
314545.600	2524040.500
314532.500	2524075.500
314526.100	2524078.600
314526.000	2524091.300
314537.100	2524096.200
314536.900	2524116.800
314546.500	2524118.400
314554.600	2524096.300
314563.100	2524048.700
314641.100	2524052.400
314660.800	2523827.400
314718.200	2523829.400
314740.000	2523885.200
314757.700	2523882.200
314815.300	2524022.300
314828.100	2524014.500
314755.000	2523823.400
314764.700	2523796.400
314783.400	2523514.200
314837.700	2523517.800
314902.400	2523589.800
314900.700	2523603.900
314880.000	2523602.300
314860.300	2523829.000
314882.600	2523830.900
314894.500	2523743.600
315068.300	2523752.300
315083.700	2523649.300
315278.100	2523658.900
315291.600	2523656.500
315342.500	2523744.400
315329.900	2523752.800
315304.300	2523757.400
315272.000	2524152.300
315319.700	2524156.000
315295.200	2524390.500
315207.400	2524388.200
315197.300	2524440.500
315167.100	2524435.600
315153.600	2524689.400
315180.600	2524694.200
315164.700	2524870.500
315033.500	2524904.200
315025.500	2524915.200
314872.000	2524956.800
314873.600	2524971.200
315105.200	2524911.200
315738.400	2524743.600
315833.300	2524591.400
316013.100	2524304.000
316176.800	2524346.800
316262.700	2524366.400
316385.200	2524397.700
316583.900	2524447.000
316645.500	2524355.400
316861.800	2524409.500
316998.900	2524498.500
317425.400	2524659.400
317576.600	2524731.700
317723.300	2524746.800
317737.600	2524753.200
317809.200	2524779.100
317857.100	2524773.000
317973.600	2524746.600
318128.900	2524663.400
318290.300	2524589.600
318466.300	2524508.100
318471.400	2524506.500
318701.200	2524431.700
318824.000	2524421.200
318935.400	2524458.500
318992.700	2524481.000
319017.900	2524539.800
319223.800	2524520.300
319240.000	2524499.800
319330.800	2524492.300
319329.300	2524481.200
319246.400	2524487.200
319096.300	2524503.700
319043.700	2524505.000
319039.000	2524482.900
319069.500	2524465.600
319248.200	2524444.300
319245.000	2524425.400
320295.600	2524476.700
320691.000	2524942.100
320844.900	2524754.300
321856.300	2525092.000
322349.000	2525472.700
323366.000	2525991.300
323785.000	2525952.800
323771.200	2526757.800
324388.200	2527274.000
324700.100	2528245.800
326496.200	2528106.600
327553.800	2529246.900
328111.100	2529162.000
330682.000	2529768.900
332384.300	2529517.500
332984.400	2529511.200
333947.000	2528966.200
334748.300	2528991.300
335355.600	2528602.500
337119.500	2528082.500
337790.300	2527791.600
338580.600	2528098.700
339557.500	2527995.500
339561.100	2527492.400
339207.100	2527065.600
339188.700	2526503.200
339437.300	2526150.300
339600.100	2525620.100
340186.400	2525192.000
340292.000	2524745.000
341420.800	2523166.600
341204.800	2522751.200
341997.300	2520390.600
342016.200	2518203.300
340752.900	2518825.600
340178.800	2518384.100
339312.900	2516633.500
339725.300	2516035.000
339442.400	2515375.100
338763.600	2513998.700
338367.600	2514470.000
338858.700	2515756.300
338210.400	2516126.700
